Account,date,daily_pnl,classification,value,win_rate,avg_trade_size,num_trades,long_short_ratio,leverage_proxy,daily_volume,profit_per_trade,Crossed,frequency_segment,consistency_segment,profitable_day,leverage_segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,Fear,30.0,0.16,730.92608,125,0.9230769230769231,9.607308639108155,91365.76,-1.06729896,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,Fear,33.0,0.43686502177068215,766.7829027576198,689,0.8275862068965517,3.379794552807878,528313.42,1.3816174789550073,0.9956458635703919,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,Fear,32.0,0.7226277372262774,552.0850851581508,411,0.42214532871972316,2.859030387364277,226906.97,0.9039002433090024,0.9975669099756691,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,Fear,37.0,0.4129353233830846,963.6022222222223,603,0.9705882352941176,16.089573036325266,581052.14,-3.138622669983416,1.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,Fear,39.0,1.0,887.6931958762888,97,0.0,0.8982647317413031,86106.24,35.40916812371134,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,Greed,72.0,0.5915492957746479,2593.2515492957746,568,0.6275071633237822,149.77375788691344,1472966.88,4.672787235915493,0.11619718309859155,frequent,consistent,True,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,Greed,63.0,0.48970588235294116,1679.7829852941175,680,1.035928143712575,178.69508850627878,1142252.43,2.7459601602941177,0.2161764705882353,frequent,consistent,True,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,Greed,60.0,0.12121212121212122,3782.839757575757,330,0.9642857142857143,142.0067871934978,1248337.1199999999,5.967858212121212,0.43333333333333335,frequent,consistent,True,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,Greed,65.0,0.0,284.5678402366864,338,0.0,0.3699660284590755,96183.93,-13.754056375739646,0.8550295857988166,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,Greed,61.0,0.0,1435.3307462686569,67,0.0,54.66335136480953,96167.16,0.0,0.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,Greed,56.0,1.0,1221.0467469879518,83,0.0,1.1662151381719827,101346.88,62.40690054216868,1.0,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,Neutral,53.0,0.324,815.50576,250,2.0864197530864197,3.6358571265074207,203876.44,4.975414276,0.324,frequent,consistent,True,low_leverage
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,Neutral,52.0,0.0,6070.2,5,0.6666666666666666,382.8938908475453,30351.0,-0.2,1.0,frequent,inconsistent,False,medium_leverage
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,Extreme Greed,78.0,1.0,1584.35,1,0.0,4.218745839435495,1584.35,1584.342755,1.0,frequent,inconsistent,True,low_leverage
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,Extreme Greed,84.0,0.75,39530.9875,4,3.0,21530.17374930003,158123.95,52.204365,0.75,frequent,inconsistent,True,high_leverage
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,Extreme Fear,18.0,0.37641154328732745,6131.710464240904,797,0.5268199233716475,554.4458748050245,4886973.24,20.96221444416562,0.29234629861982436,frequent,inconsistent,True,high_leverage
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,Fear,39.0,0.5575221238938053,21898.95651917404,339,2.138888888888889,2321.017885108635,7423746.26,39.12697139823008,1.0,frequent,inconsistent,True,high_leverage
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,Fear,32.0,0.12779552715654952,8678.024504792333,313,0.14652014652014653,30.38800242389502,2716221.67,18.985773936102234,0.805111821086262,frequent,inconsistent,True,medium_leverage
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,Fear,37.0,0.49130938586326767,3079.8473348783314,863,0.9393258426966292,26.321771794987434,2657908.25,9.591317910776361,0.6396292004634995,frequent,inconsistent,True,medium_leverage
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,Fear,39.0,0.17280453257790368,1965.9329745042492,353,0.2089041095890411,10.526944880394876,693974.34,7.47312347592068,0.46458923512747874,frequent,inconsistent,True,low_leverage
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,Neutral,47.0,0.0,8110.89095959596,594,0.6454293628808865,659.954894407104,4817869.23,-32.04939488383839,0.9562289562289562,frequent,inconsistent,False,high_leverage
